Symbol,Company Name,Security Type,Security Price,Market Capitalization,Sector,Industry,Sub-Industry,dolv_125, market_cap 
BEN,Franklin Resources Inc,Common Stock,27.62,13960000000,Financials,Capital Markets,Asset Management & Custody Banks,80777794,mid
ENTG,Entegris Inc,Common Stock,103.37,13940000000,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductor Equipment,72687627.89,mid
NWS,News Corp,Common Stock,23.49,13880000000,Communication Services,Media,Publishing,11146508.92,mid
FICO,Fair Isaac Corp,Common Stock,473.78,13850000000,Information Technology,Software,Application Software,92897002.16,mid
BKI,Black Knight Inc,Common Stock,87.4,13720000000,Information Technology,IT Services,Data Processing & Outsourced Services,69196083.64,mid
ZLAB,Zai Lab Limited,Depository Receipt,182.57,13670000000,Health Care,Biotechnology,Biotechnology,41356290.38,mid
CREE,Cree Inc.,Common Stock,123.08,13660000000,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,134057764.6,mid
SMG,Scotts Miracle-Gro Co (The),Common Stock,245.41,13640000000,Materials,Chemicals,Fertilizers & Agricultural Chemicals,62313069.85,mid
ERIE,Erie Indemnity Co,Common Stock,260.54,13610000000,Financials,Insurance,Property & Casualty Insurance,18148626.44,mid
POOL,Pool Corp,Common Stock,337.92,13570000000,Consumer Discretionary,Distributors,Distributors,147789273.7,mid
CZR,Caesars Entertainment Inc,Common Stock,80.24,13540000000,Consumer Discretionary,"Hotels, Restaurants & Leisure",Casinos & Gaming,212097084.2,mid
IPGP,IPG Photonics Corp,Common Stock,252.89,13460000000,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Manufacturing Services,49982423.41,mid
CCK,Crown Holdings Inc,Common Stock,98.96,13340000000,Materials,Containers & Packaging,Metal & Glass Containers,75791926.22,mid
PPD,PPD Inc,Common Stock,38,13280000000,Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services,44600914.44,mid
PLTK,Playtika Holding Corp,Common Stock,33.8292,13220000000,Communication Services,Entertainment,Interactive Home Entertainment,90311590.56,mid
BAP,Credicorp Ltd,Common Stock,165.73,13170000000,Financials,Banks,Diversified Banks,54385851.39,mid
CG,Carlyle Group Inc (The),Common Stock,37.18,13140000000,Financials,Capital Markets,Asset Management & Custody Banks,34205319.8,mid
SJM,J.M. Smucker Co (The),Common Stock,115.1,13130000000,Consumer Staples,Food Products,Packaged Foods & Meats,109549732.4,mid
LB,L Brands Inc,Common Stock,47.22,13130000000,Consumer Discretionary,Specialty Retail,Apparel Retail,165536684.6,mid
L,Loews Corp,Common Stock,48.62,13090000000,Financials,Insurance,Property & Casualty Insurance,35737478.11,mid
OTEX,Open Text Corp,Common Stock,47.92,13020000000,Information Technology,Software,Application Software,24959421.03,mid
FFIV,F5 Networks Inc,Common Stock,210.62,12980000000,Information Technology,Communications Equipment,Communications Equipment,115719143.4,mid
LUMN,Lumen Technologies Inc,Common Stock,11.78,12930000000,Communication Services,Diversified Telecommunication Services,Alternative Carriers,134184274.4,mid
PHM,PulteGroup Inc,Common Stock,48.48,12920000000,Consumer Discretionary,Household Durables,Homebuilding,129637861.2,mid
UAL,United Airlines Holdings Inc,Common Stock,43.935,12780000000,Industrials,Airlines,Airlines,834465936.5,mid
QGEN,Qiagen NV,Common Stock,56.02,12770000000,Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services,51083801.71,mid
SPCE,Virgin Galactic Holdings Inc,Common Stock,54.53,12760000000,Industrials,Aerospace & Defense,Aerospace & Defense,495071169.7,mid
MOH,Molina Healthcare Inc.,Common Stock,216.28,12760000000,Health Care,Health Care Providers & Services,Managed Health Care,70799137.79,mid
WYNN,Wynn Resorts Ltd,Common Stock,117.85,12710000000,Consumer Discretionary,"Hotels, Restaurants & Leisure",Casinos & Gaming,311272629.4,mid
BRO,Brown & Brown Inc,Common Stock,44.8,12680000000,Financials,Insurance,Insurance Brokers,44068633.6,mid
BSY,Bentley System Inc,Common Stock,48.29,12660000000,Information Technology,Software,Application Software,21228167.44,mid
PKG,Packaging Corp Of America,Common Stock,133.18,12630000000,Materials,Containers & Packaging,Paper Packaging,76094274.47,mid
NLOK,NortonLifeLock Inc,Common Stock,21.47,12600000000,Information Technology,Software,Systems Software,125138295.2,mid
HAS,Hasbro Inc.,Common Stock,91.49,12540000000,Consumer Discretionary,Leisure Products,Leisure Products,80280257.09,mid
ZNGA,Zynga Inc,Common Stock,11.6,12520000000,Communication Services,Entertainment,Interactive Home Entertainment,204468509.8,mid
FBHS,Fortune Brands Home & Security Inc,Common Stock,89.84,12480000000,Industrials,Building Products,Building Products,84122251.76,mid
AXON,Axon Enterprise Inc,Common Stock,196.48,12430000000,Industrials,Aerospace & Defense,Aerospace & Defense,73128954.62,mid
CHRW,C.H. Robinson Worldwide Inc.,Common Stock,91.3,12410000000,Industrials,Air Freight & Logistics,Air Freight & Logistics,123287215,mid
WHR,Whirlpool Corp,Common Stock,199.93,12400000000,Consumer Discretionary,Household Durables,Household Appliances,137364556.1,mid
IHG,Intercontinental Hotels Group PLC,Depository Receipt,68.08,12390000000,Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",9338571.241,mid
CABO,Cable One Inc,Common Stock,2056.79,12390000000,Communication Services,Media,Cable & Satellite,72950034.98,mid
XPO,XPO Logistics Inc,Common Stock,121.31,12370000000,Industrials,Air Freight & Logistics,Air Freight & Logistics,108390873.3,mid
EVRG,Evergy Inc,Common Stock,54.43,12350000000,Utilities,Electric Utilities,Electric Utilities,105190514.8,mid
TREX,Trex Co Inc,Common Stock,106.28,12310000000,Industrials,Building Products,Building Products,60080788.63,mid
HWM,Howmet Aerospace Inc,Common Stock,28.28,12240000000,Industrials,Aerospace & Defense,Aerospace & Defense,74889712.81,mid
TEVA,Teva Pharmaceutical Industries Ltd,Depository Receipt,11.12,12190000000,Health Care,Pharmaceuticals,Pharmaceuticals,92962690.09,mid
EQH,Equitable Holdings Inc,Common Stock,27.35,12160000000,Financials,Diversified Financial Services,Other Diversified Financial Services,69776449.99,mid
GGG,Graco Inc.,Common Stock,71.87,12110000000,Industrials,Machinery,Industrial Machinery,40809684.28,mid
XRAY,DENTSPLY SIRONA Inc,Common Stock,55.35,12090000000,Health Care,Health Care Equipment & Supplies,Health Care Supplies,61433065.99,mid
WRB,Berkley (W.R.) Corp,Common Stock,67.88,12070000000,Financials,Insurance,Property & Casualty Insurance,54788707.59,mid
LNT,Alliant Energy Corp,Common Stock,48.29,12060000000,Utilities,Electric Utilities,Electric Utilities,66213697.76,mid
MHK,Mohawk Industries Inc.,Common Stock,169.28,12050000000,Consumer Discretionary,Household Durables,Home Furnishings,71761705.35,mid
FDS,FactSet Research Systems Inc.,Common Stock,316,12010000000,Financials,Capital Markets,Financial Exchanges & Data,71802445.31,mid
FIVN,Five9 Inc,Common Stock,181.59,11970000000,Information Technology,Software,Application Software,95965874.3,mid
SBSW,Sibanye-Stillwater Limited,Depository Receipt,17.88,11960000000,Materials,Metals & Mining,Precious Metals & Minerals,37802265.73,mid
ENIA,Enel Americas SA,Depository Receipt,7.85,11950000000,Utilities,Electric Utilities,Electric Utilities,9187884.805,mid
RGEN,Repligen Corp,Common Stock,226.26,11900000000,Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services,71901953.91,mid
PEGA,Pegasystems Inc,Common Stock,146.78,11840000000,Information Technology,Software,Application Software,36107543.78,mid
CLVT,Clarivate Plc,Common Stock,30.27,11780000000,Industrials,Professional Services,Research & Consulting Services,36892382.94,mid
APO,Apollo Global Management Inc,Common Stock,51.46,11780000000,Financials,Capital Markets,Asset Management & Custody Banks,61969951.47,mid
CNA,CNA Financial Corp,Common Stock,43.22,11730000000,Financials,Insurance,Property & Casualty Insurance,8370004.589,mid
AEG,Aegon NV,Depository Receipt,4.49,11670000000,Financials,Insurance,Life & Health Insurance,7248850.27,mid
ATO,Atmos Energy Corp,Common Stock,91.05,11670000000,Utilities,Gas Utilities,Gas Utilities,91333390.22,mid
PLAN,Anaplan Inc,Common Stock,82.26,11650000000,Information Technology,Software,Application Software,135975699.2,mid
WRK,WestRock Company,Common Stock,44.24,11650000000,Materials,Containers & Packaging,Paper Packaging,92169226.99,mid
CNP,CenterPoint Energy Inc.,Common Stock,21.38,11650000000,Utilities,Multi-Utilities,Multi-Utilities,100932332.8,mid
TXT,Textron Inc,Common Stock,50.89,11640000000,Industrials,Aerospace & Defense,Aerospace & Defense,49764030.81,mid
FNF,Fidelity National Financial Inc FNF Group,Common Stock,39.63,11640000000,Financials,Insurance,Property & Casualty Insurance,62923308.76,mid
MTN,Vail Resorts Inc.,Common Stock,287.37,11580000000,Consumer Discretionary,"Hotels, Restaurants & Leisure",Leisure Facilities,105290525.1,mid
OZON,Ozon Holdings PLC,Depository Receipt,64.5,11560000000,Consumer Discretionary,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail,69425997.05,mid
DVA,DaVita Inc,Common Stock,104.99,11540000000,Health Care,Health Care Providers & Services,Health Care Services,92391089.23,mid
SBNY,Signature Bank,Common Stock,214.03,11470000000,Financials,Banks,Regional Banks,85593235.01,mid
WTRG,Essential Utilities Inc,Common Stock,46.66,11440000000,Utilities,Water Utilities,Water Utilities,49346514.55,mid
GRFS,Grifols S.A.,Depository Receipt,16.69,11430000000,Health Care,Biotechnology,Biotechnology,20258999.84,mid
ABCL,AbCellera Biologics Inc,Common Stock,43.04,11410000000,Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services,60193371.35,mid
BAH,Booz Allen Hamilton Holding Corp,Common Stock,82.59,11390000000,Information Technology,IT Services,IT Consulting & Other Services,73787370.64,mid
CRSP,CRISPR Therapeutics AG,Common Stock,161.025,11370000000,Health Care,Biotechnology,Biotechnology,217372136,mid
OLED,Universal Display Corp,Common Stock,238.08,11350000000,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,58339519.7,mid
RPM,RPM International Inc,Common Stock,86.8,11290000000,Materials,Chemicals,Specialty Chemicals,46028615.14,mid
LW,Lamb Weston Holdings Inc,Common Stock,77.16,11290000000,Consumer Staples,Food Products,Packaged Foods & Meats,66987270.33,mid
LKQ,LKQ Corp,Common Stock,36.91,11240000000,Consumer Discretionary,Distributors,Distributors,71374868.16,mid
LII,Lennox International Inc.,Common Stock,292.86,11210000000,Industrials,Building Products,Building Products,71259425.08,mid
DAR,Darling Ingredients Inc,Common Stock,69.07,11190000000,Consumer Staples,Food Products,Agricultural Products,66158015.3,mid
PCTY,Paylocity Holding Corp,Common Stock,205.97,11190000000,Information Technology,Software,Application Software,56997377.17,mid
WLK,Westlake Chemical Corp,Common Stock,87.08,11120000000,Materials,Chemicals,Commodity Chemicals,24465632.75,mid
ICLR,Icon PLC,Common Stock,210.61,11110000000,Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services,40230686.77,mid
MOS,Mosaic Company (The),Common Stock,29.27,11100000000,Materials,Chemicals,Fertilizers & Agricultural Chemicals,104894214.8,mid
BHC,Bausch Health Cos Inc,Common Stock,31.23,11090000000,Health Care,Pharmaceuticals,Pharmaceuticals,79111847,mid
JKHY,Henry (Jack) & Associates Inc,Common Stock,145.64,11080000000,Information Technology,IT Services,Data Processing & Outsourced Services,91120234.26,mid
FNMA,Federal National Mortgage Association,Common Stock,1.89,11070000000,Financials,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance,11828548.14,mid
BYND,Beyond Meat Inc,Common Stock,175.49,10990000000,Consumer Staples,Food Products,Packaged Foods & Meats,685613234,mid
UHS,Universal Health Services Inc.,Common Stock,129.28,10990000000,Health Care,Health Care Providers & Services,Health Care Facilities,73501441.49,mid
TTC,Toro Co (The),Common Stock,101.86,10960000000,Industrials,Machinery,Agricultural & Farm Machinery,38229181.56,mid
YY,JOYY Inc,Depository Receipt,135.27,10950000000,Communication Services,Interactive Media & Services,Interactive Media & Services,131961095.5,mid
NDSN,Nordson Corp,Common Stock,188.27,10930000000,Industrials,Machinery,Industrial Machinery,48169598.97,mid
RDY,Dr Reddy'S Laboratories Ltd,Depository Receipt,65.9,10930000000,Health Care,Pharmaceuticals,Pharmaceuticals,11773172.38,mid
FANG,Diamondback Energy Inc,Common Stock,69.11,10910000000,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,142361424.6,mid
ALLE,Allegion Plc,Common Stock,118.26,10910000000,Industrials,Building Products,Building Products,76279136.85,mid
FSLY,Fastly Inc,Common Stock,102.06,10910000000,Information Technology,IT Services,Internet Services & Infrastructure,762302943.5,mid
EXPI,eXp World Holdings Inc,Common Stock,155.66,10900000000,Real Estate,Real Estate Management & Development,Real Estate Services,65847044.97,mid
BG,Bunge Ltd,Common Stock,78,10890000000,Consumer Staples,Food Products,Agricultural Products,76467842.88,mid
PWR,Quanta Services Inc.,Common Stock,77.87,10810000000,Industrials,Construction & Engineering,Construction & Engineering,81320537.51,mid
FND,Floor & Decor Holdings Inc,Common Stock,103.89,10800000000,Consumer Discretionary,Specialty Retail,Home Improvement Retail,71706833.18,mid
GWRE,Guidewire Software Inc,Common Stock,128.69,10780000000,Information Technology,Software,Application Software,65991324.91,mid
AZPN,Aspen Technology Inc,Common Stock,158.64,10760000000,Information Technology,Software,Application Software,50863891.94,mid
FIVE,Five Below Inc,Common Stock,192.32,10740000000,Consumer Discretionary,Specialty Retail,Specialty Stores,117809548.6,mid
BFAM,Bright Horizons Family Solutions Inc,Common Stock,178.18,10740000000,Consumer Discretionary,Diversified Consumer Services,Education Services,63274768.28,mid
AAL,American Airlines Group Inc,Common Stock,17.26,10730000000,Industrials,Airlines,Airlines,992756039.9,mid
FSLR,First Solar Inc,Common Stock,100.75,10680000000,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,240978669.2,mid
RUN,Sunrun Inc,Common Stock,83.69,10670000000,Industrials,Electrical Equipment,Electrical Components & Equipment,381721937,mid
NBIX,Neurocrine Biosciences Inc,Common Stock,114.08,10670000000,Health Care,Biotechnology,Biotechnology,91398885.11,mid
TPR,Tapestry Inc,Common Stock,38.31,10640000000,Consumer Discretionary,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods",131325490.8,mid
MORN,Morningstar Inc,Common Stock,248.79,10620000000,Financials,Capital Markets,Financial Exchanges & Data,22045549.38,mid
NTRA,Natera Inc,Common Stock,124.36,10610000000,Health Care,Biotechnology,Biotechnology,64874188.68,mid
BSAC,Banco Santander-Chile,Depository Receipt,22.45,10580000000,Financials,Banks,Diversified Banks,7880922.896,mid
FWONK,Formula One Group - The Liberty Media Group,Common Stock,45.47,10540000000,Communication Services,Entertainment,Movies & Entertainment,35355087.07,mid
AQN,Algonquin Power & Utilities Corp,Common Stock,17.7,10540000000,Utilities,Multi-Utilities,Multi-Utilities,10890721.13,mid
NRG,NRG Energy Inc,Common Stock,43.04,10510000000,Utilities,Electric Utilities,Electric Utilities,78710834.61,mid
API,Agora Inc,Depository Receipt,106.26,10500000000,Information Technology,Software,Application Software,64667937.17,mid
KL,Kirkland Lake Gold Ltd,Common Stock,38.25,10470000000,Materials,Metals & Mining,Gold,75320230.82,mid
TECK,Teck Resources Ltd,Common Stock,19.71,10470000000,Materials,Metals & Mining,Diversified Metals & Mining,65902902.27,mid
AAP,Advance Auto Parts Inc.,Common Stock,152.81,10460000000,Consumer Discretionary,Specialty Retail,Automotive Retail,145720650.7,mid
VST,Vistra Corp,Common Stock,21.33,10430000000,Utilities,Independent Power and Renewable Electricity Producers,Independent Power Producers & Energy Traders,68406125.44,mid
IVZ,Invesco Ltd,Common Stock,22.67,10410000000,Financials,Capital Markets,Asset Management & Custody Banks,89711530.92,mid
FVRR,Fiverr International Ltd,Common Stock,323.1,10320000000,Consumer Discretionary,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail,226015046.9,mid
SMAR,Smartsheet Inc,Common Stock,84.41,10300000000,Information Technology,Software,Application Software,81838713.12,mid
SNA,Snap-On Inc,Common Stock,189.95,10280000000,Industrials,Machinery,Industrial Machinery,75835312.86,mid
TS,"Tenaris SA, Luxembourg",Depository Receipt,17.39,10260000000,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services,24401076.11,mid
NWL,Newell Brands Inc,Common Stock,24.19,10260000000,Consumer Discretionary,Household Durables,Housewares & Specialties,58726475.89,mid
MNSO,MINISO Group Holding Ltd,Depository Receipt,33.64,10230000000,Consumer Discretionary,Multiline Retail,General Merchandise Stores,35281801.15,mid
DOX,Amdocs Ltd,Common Stock,77.59,10210000000,Information Technology,IT Services,IT Consulting & Other Services,44264588.42,mid
UAA,Under Armour Inc,Common Stock,22.37,10170000000,Consumer Discretionary,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods",94535478.49,mid
DBX,Dropbox Inc,Common Stock,24.51,10150000000,Information Technology,Software,Application Software,130126296,mid
AMED,Amedisys Inc,Common Stock,308.38,10130000000,Health Care,Health Care Providers & Services,Health Care Services,43062871.19,mid
PEN,Penumbra Inc,Common Stock,278.32,10100000000,Health Care,Health Care Equipment & Supplies,Health Care Equipment,138801336.1,mid
LNC,Lincoln National Corp,Common Stock,52.35,10070000000,Financials,Insurance,Life & Health Insurance,79327064.15,mid
DADA,Dada Nexus Ltd,Depository Receipt,44.56,10010000000,Consumer Discretionary,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail,72393971.3,mid
AU,AngloGold Ashanti Ltd,Depository Receipt,23.99,9990000000,Materials,Metals & Mining,Gold,68084660.33,mid
DNB,Dun & Bradstreet Corp (The),Common Stock,23.49,9940000000,Industrials,Professional Services,Research & Consulting Services,32685759.47,mid
MSTR,MicroStrategy Inc,Common Stock,1034.31,9920000000,Information Technology,Software,Application Software,263237547.5,mid
HSIC,Henry Schein Inc,Common Stock,69.46,9890000000,Health Care,Health Care Providers & Services,Health Care Distributors,59660654.44,mid
GL,Globe Life Inc,Common Stock,94.02,9880000000,Financials,Insurance,Life & Health Insurance,39421229.75,mid
WU,Western Union Co,Common Stock,23.99,9860000000,Information Technology,IT Services,Data Processing & Outsourced Services,93005398.91,mid
CX,Cemex SAB de CV,Depository Receipt,6.68,9840000000,Materials,Construction Materials,Construction Materials,47599597.07,mid
UHAL,Amerco,Common Stock,500.24,9810000000,Industrials,Road & Rail,Trucking,15499387.41,mid
WEX,WEX Inc,Common Stock,221.4,9770000000,Information Technology,IT Services,Data Processing & Outsourced Services,65956789.64,mid
RH,RH,Common Stock,491.9,9760000000,Consumer Discretionary,Specialty Retail,Homefurnishing Retail,237420352.2,mid
FLEX,Flex Ltd,Common Stock,19.56,9750000000,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Manufacturing Services,71743675.01,mid
AOS,A. O. Smith Corp,Common Stock,60.37,9750000000,Industrials,Building Products,Building Products,59980979.04,mid
RE,Everest Re Group Ltd,Common Stock,243.54,9740000000,Financials,Insurance,Reinsurance,56891920.33,mid
WSM,Williams-Sonoma Inc.,Common Stock,126.61,9710000000,Consumer Discretionary,Specialty Retail,Homefurnishing Retail,131458113.4,mid
CBOE,Cboe Global Markets Inc,Common Stock,89.39,9680000000,Financials,Capital Markets,Financial Exchanges & Data,74569056.24,mid
IPG,Interpublic Group of Cos Inc (The),Common Stock,24.63,9600000000,Communication Services,Media,Advertising,81292404.45,mid
DLB,Dolby Laboratories Inc,Common Stock,94.44,9590000000,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Components,41199610.66,mid
LEA,Lear Corp,Common Stock,159.67,9590000000,Consumer Discretionary,Auto Components,Auto Parts & Equipment,63060866.91,mid
QDEL,Quidel Corp,Common Stock,227.85,9580000000,Health Care,Health Care Equipment & Supplies,Health Care Supplies,221659334,mid
WSO,Watsco Inc,Common Stock,248.16,9550000000,Industrials,Trading Companies & Distributors,Trading Companies & Distributors,41716279.08,mid
VEDL,Vedanta Ltd,Depository Receipt,10.31,9550000000,Materials,Metals & Mining,Diversified Metals & Mining,6676284.266,mid
TAP,Molson Coors Beverage Company,Common Stock,44.01,9540000000,Consumer Staples,Beverages,Brewers,100853508.6,mid
FWONA,Formula One Group - The Liberty Media Group,Common Stock,40.98,9520000000,Communication Services,Entertainment,Movies & Entertainment,5297960.977,mid
EWBC,East West Bancorp Inc,Common Stock,67.18,9510000000,Financials,Banks,Regional Banks,43807388.58,mid
CF,CF Industries Holdings Inc,Common Stock,44.36,9490000000,Materials,Chemicals,Fertilizers & Agricultural Chemicals,83593549.67,mid
SCI,Service Corp International,Common Stock,54.12,9430000000,Consumer Discretionary,Diversified Consumer Services,Specialized Consumer Services,40605669.2,mid
VTRS,Viatris Inc,Common Stock,18.23,9430000000,Health Care,Pharmaceuticals,Pharmaceuticals,166132278.7,mid
GFL,GFL Environmental Inc,Common Stock,28.81,9400000000,Industrials,Commercial Services & Supplies,Environmental & Facilities Services,29079927.35,mid
IIVI,II VI Inc,Common Stock,89.92,9400000000,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Components,88168354.66,mid
MRTX,Mirati Therapeutics Inc,Common Stock,209.66,9390000000,Health Care,Biotechnology,Biotechnology,94044226.22,mid
ATR,AptarGroup Inc.,Common Stock,144.63,9360000000,Materials,Containers & Packaging,Metal & Glass Containers,24349711.83,mid
AFG,American Financial Group Inc,Common Stock,108.04,9330000000,Financials,Insurance,Multi-line Insurance,42609719.26,mid
BLDP,Ballard Power Systems Inc,Common Stock,36,9310000000,Industrials,Electrical Equipment,Electrical Components & Equipment,124154682.8,mid
JAZZ,Jazz Pharmaceuticals Plc,Common Stock,167.52,9310000000,Health Care,Pharmaceuticals,Pharmaceuticals,104596482.4,mid
BRKR,Bruker Corp,Common Stock,60.75,9310000000,Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services,24266257.53,mid
ZI,ZoomInfo Technologies Inc,Common Stock,57.84,9300000000,Communication Services,Interactive Media & Services,Interactive Media & Services,100257753.5,mid
KGC,Kinross Gold Corp,Common Stock,7.38,9290000000,Materials,Metals & Mining,Gold,126532791.3,mid
LMND,Lemonade Inc,Common Stock,163.93,9280000000,Financials,Insurance,Property & Casualty Insurance,286663780.1,mid
OC,Owens Corning,Common Stock,85.75,9260000000,Industrials,Building Products,Building Products,65985721.32,mid
MKSI,MKS Instruments Inc,Common Stock,167.62,9230000000,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductor Equipment,49571522.01,mid
NFE,New Fortress Energy Inc,Common Stock,54.59,9210000000,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Refining & Marketing,23975691.02,mid
ST,Sensata Technologies Holding Plc,Common Stock,58.4,9180000000,Industrials,Electrical Equipment,Electrical Components & Equipment,52119214.42,mid
RARE,Ultragenyx Pharmaceutical Inc,Common Stock,150.54,9140000000,Health Care,Biotechnology,Biotechnology,53432419.01,mid
ARMK,Aramark,Common Stock,36,9110000000,Consumer Discretionary,"Hotels, Restaurants & Leisure",Restaurants,67905419.14,mid
IPHI,Inphi Corp,Common Stock,174.87,9100000000,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,143320525.9,mid
DECK,Deckers Outdoor Corp,Common Stock,323.32,9100000000,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Footwear,94395543.21,mid
ARWR,Arrowhead Pharmaceuticals Inc,Common Stock,88.22,9100000000,Health Care,Biotechnology,Biotechnology,74314457.16,mid
ADPT,Adaptive Biotechnologies Corp,Common Stock,66.515,9070000000,Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services,43606344.86,mid
SJR,Shaw Communications Inc.,Common Stock,17.78,9070000000,Communication Services,Media,Cable & Satellite,13841590.92,mid
RDFN,Redfin Corp,Common Stock,90.065,9030000000,Real Estate,Real Estate Management & Development,Real Estate Services,94365222.7,mid
HUBB,Hubbell Inc,Common Stock,165.21,8960000000,Industrials,Electrical Equipment,Electrical Components & Equipment,45137514.18,mid
PNR,Pentair plc,Common Stock,53.63,8920000000,Industrials,Machinery,Industrial Machinery,56335372.64,mid
FATE,Fate Therapeutics Inc,Common Stock,102.42,8910000000,Health Care,Biotechnology,Biotechnology,71386164.43,mid
SFIX,Stitch Fix Inc,Common Stock,85.06,8910000000,Consumer Discretionary,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail,161373073,mid
MRVI,Maravai LifeSciences Holdings Inc,Common Stock,34.47,8890000000,Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services,50217445.95,mid
AGCO,AGCO Corp,Common Stock,118.6,8880000000,Industrials,Machinery,Agricultural & Farm Machinery,59773918.92,mid
RP,RealPage Inc,Common Stock,86.89,8870000000,Information Technology,Software,Application Software,108844545.2,mid
MANH,Manhattan Associates Inc,Common Stock,139.6,8870000000,Information Technology,Software,Application Software,32338576.04,mid
VIR,Vir Biotechnology Inc,Common Stock,69.71,8850000000,Health Care,Biotechnology,Biotechnology,60479962.72,mid
MCFE,McAfee Corp,Common Stock,20.58,8850000000,Information Technology,Software,Systems Software,28844955.59,mid
GNTX,Gentex Corporation,Common Stock,35.68,8740000000,Consumer Discretionary,Auto Components,Auto Parts & Equipment,53447415.66,mid
SSL,Sasol Ltd,Depository Receipt,13.75,8700000000,Materials,Chemicals,Diversified Chemicals,10040529.32,mid
CIEN,Ciena Corp,Common Stock,56.22,8690000000,Information Technology,Communications Equipment,Communications Equipment,96814227.18,mid
TPL,Texas Pacific Land Corp,Common Stock,1119.78,8690000000,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,15583764.44,mid
LSPD,Lightspeed POS Inc,Common Stock,73.02,8680000000,Information Technology,Software,Application Software,24971355.17,mid
FHN,First Horizon Corp,Common Stock,15.63,8670000000,Financials,Banks,Regional Banks,67260485.96,mid
CMA,Comerica Inc,Common Stock,62.31,8670000000,Financials,Banks,Regional Banks,78574938.58,mid
ATH,Athene Holding Ltd,Common Stock,45.17,8650000000,Financials,Insurance,Life & Health Insurance,47302934.9,mid
EBR,Centrais Eletricas Brasileiras Sa-Eletrobras,Depository Receipt,5.51,8640000000,Utilities,Electric Utilities,Electric Utilities,4784272.964,mid
Y,Alleghany Corp,Common Stock,609.08,8640000000,Financials,Insurance,Reinsurance,37640015.26,mid
GPS,Gap Inc,Common Stock,23.09,8640000000,Consumer Discretionary,Specialty Retail,Apparel Retail,182536026.2,mid
NI,NiSource Inc,Common Stock,22.53,8630000000,Utilities,Multi-Utilities,Multi-Utilities,70485350.87,mid
DQ,Daqo New Energy Corp,Depository Receipt,123.83,8600000000,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductor Equipment,134205422.6,mid
CBSH,Commerce Bancshares Inc,Common Stock,73.4,8600000000,Financials,Banks,Regional Banks,25972681.45,mid
CHDN,Churchill Downs Inc,Common Stock,217.02,8590000000,Consumer Discretionary,"Hotels, Restaurants & Leisure",Casinos & Gaming,43952582.77,mid
ASND,Ascendis Pharma AS,Depository Receipt,160.62,8580000000,Health Care,Biotechnology,Biotechnology,26865393.66,mid
PNW,Pinnacle West Capital Corp,Common Stock,76.19,8580000000,Utilities,Electric Utilities,Electric Utilities,69130672.74,mid
UA,Under Armour Inc,Common Stock,18.84,8570000000,Consumer Discretionary,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods",54417364.18,mid
MLCO,Melco Resorts & Entertainment Ltd,Depository Receipt,17.8,8490000000,Consumer Discretionary,"Hotels, Restaurants & Leisure",Casinos & Gaming,46098330.4,mid
NLSN,Nielsen Holdings plc,Common Stock,23.78,8490000000,Industrials,Professional Services,Research & Consulting Services,75905570.43,mid
SPWR,SunPower Corp,Common Stock,49.78,8470000000,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,216007356.7,mid
RHI,Robert Half International Inc.,Common Stock,73.78,8420000000,Industrials,Professional Services,Human Resource & Employment Services,62838260.43,mid
GFI,Gold Fields Ltd,Depository Receipt,9.48,8420000000,Materials,Metals & Mining,Gold,67010893.18,mid
