symbol,sector,industry
CCL,Consumer Cyclical,Travel Services
CCM,Healthcare,Medical Care Facilities
CCMP,Technology,Semiconductor Equipment & Materials
CCNE,Financial Services,Banks Regional
CCO,Communication Services,Advertising Agencies
CCOI,Communication Services,Telecom Services
CCRN,Industrials,Staffing & Employment Services
CCS,Consumer Cyclical,Residential Construction
CCU,Consumer Defensive,Beverages Brewers
CCX,Financial Services,Shell Companies
CCXI,Healthcare,Biotechnology
CDAK,Healthcare,Biotechnology
CDAY,Technology,Software Application
CDE,Basic Materials,Gold
CDEV,Energy,Oil & Gas E&P
CDK,Technology,Software Application
CDLX,Communication Services,Internet Content & Information
CDMO,Healthcare,Biotechnology
CDNA,Healthcare,Diagnostics & Research
CDNS,Technology,Software Application
CDR,Real Estate,REIT Retail
CDTX,Healthcare,Biotechnology
CDW,Technology,Information Technology Services
CDXC,Healthcare,Biotechnology
CDXS,Healthcare,Biotechnology
CDZI,Utilities,Utilities Regulated Water
CE,Basic Materials,Chemicals
CEA,Industrials,Airlines
CECE,Industrials,Pollution & Treatment Controls
CEIX,Energy,Thermal Coal
CEL,Communication Services,Telecom Services
CELC,Healthcare,Diagnostics & Research
CELH,Consumer Defensive,Beverages Non-Alcoholic
CEMI,Healthcare,Diagnostics & Research
CENT,Consumer Defensive,Packaged Foods
CENTA,Consumer Defensive,Packaged Foods
CENX,Basic Materials,Aluminum
CEO,Energy,Oil & Gas E&P
CEPU,Utilities,Utilities Regulated Electric
CEQP,Energy,Oil & Gas Midstream
CERC,Healthcare,Biotechnology
CERE,Healthcare,Biotechnology
CERN,Healthcare,Health Information Services
CERS,Healthcare,Biotechnology
CERT,Healthcare,Biotechnology
CEVA,Technology,Semiconductors
CF,Basic Materials,Agricultural Inputs
CFAC,Financial Services,Shell Companies
CFB,Financial Services,Banks Regional
CFBK,Financial Services,Banks Regional
CFFI,Financial Services,Banks Regional
CFFN,Financial Services,Banks Regional
CFG,Financial Services,Banks Regional
CFII,Financial Services,Shell Companies
CFMS,Healthcare,Medical Devices
CFR,Financial Services,Banks Regional
CFRX,Healthcare,Biotechnology
CFX,Industrials,Specialty Industrial Machinery
CG,Financial Services,Asset Management
CGC,Healthcare,Drug Manufacturers Specialty & Generic
CGEN,Healthcare,Biotechnology
CGNX,Technology,Scientific & Technical Instruments
CGRO,Financial Services,Shell Companies
CHAQ,Financial Services,Shell Companies
CHCO,Financial Services,Banks Regional
CHCT,Real Estate,REIT Healthcare Facilities
CHD,Consumer Defensive,Household & Personal Products
CHDN,Consumer Cyclical,Gambling
CHE,Healthcare,Medical Care Facilities
CHEF,Consumer Defensive,Food Distribution
CHGG,Consumer Defensive,Education & Training Services
CHH,Consumer Cyclical,Lodging
CHKP,Technology,Software Infrastructure
CHMA,Healthcare,Biotechnology
CHMG,Financial Services,Banks Regional
CHMI,Real Estate,REIT Mortgage
CHNG,Healthcare,Health Information Services
CHPM,Financial Services,Shell Companies
CHRA,Industrials,Waste Management
CHRS,Healthcare,Biotechnology
CHRW,Industrials,Integrated Freight & Logistics
CHS,Consumer Cyclical,Apparel Retail
CHT,Communication Services,Telecom Services
CHTR,Communication Services,Entertainment
CHUY,Consumer Cyclical,Restaurants
CHWY,Consumer Cyclical,Internet Retail
CHX,Energy,Oil & Gas Equipment & Services
CI,Healthcare,Healthcare Plans
CIA,Financial Services,Insurance Life
CIB,Financial Services,Banks Regional
CIDM,Communication Services,Entertainment
CIEN,Technology,Communication Equipment
CIG,Utilities,Utilities Diversified
CIGI,Real Estate,Real Estate Services
CIH,Technology,Software—Application
CIIC,Financial Services,Shell Companies
CIM,Real Estate,REIT Mortgage
CINF,Financial Services,Insurance Property & Casualty
CINR,Basic Materials,Chemicals
CIO,Real Estate,REIT Office
CIR,Industrials,Specialty Industrial Machinery
CIT,Financial Services,Banks Regional
CIVB,Financial Services,Banks Regional
CIX,Industrials,Security & Protection Services
CIXX,Financial Services,Asset Management
CIZN,Financial Services,Banks Regional
CKH,Energy,Oil & Gas Equipment & Services
CKPT,Healthcare,Biotechnology
CL,Consumer Defensive,Household & Personal Products
CLA,Financial Services,Shell Companies
CLAR,Consumer Cyclical,Leisure
CLB,Energy,Oil & Gas Equipment & Services
CLBK,Financial Services,Banks Regional
CLCT,Industrials,Specialty Business Services
CLDR,Technology,Software Application
CLDT,Real Estate,REIT Hotel & Motel
CLDX,Healthcare,Biotechnology
CLF,Basic Materials,Steel
CLFD,Technology,Communication Equipment
CLGX,Technology,Information Technology Services
CLH,Industrials,Waste Management
CLI,Real Estate,REIT Office
CLII,Financial Services,Shell Companies
CLIR,Industrials,Pollution & Treatment Controls
CLLS,Healthcare,Biotechnology
CLMT,Energy,Oil & Gas E&P
CLNC,Real Estate,REIT Diversified
CLNE,Energy,Oil & Gas Refining & Marketing
CLNN,Healthcare,Biotechnology
CLNY,Real Estate,REIT Diversified
CLPR,Real Estate,REIT Diversified
CLPT,Healthcare,Medical Devices
CLR,Energy,Oil & Gas E&P
CLS,Technology,Electronic Components
CLSD,Healthcare,Biotechnology
CLSK,Technology,Software Infrastructure
CLVR,Healthcare,Drug Manufacturers—Specialty & Generic
CLVS,Healthcare,Biotechnology
CLW,Basic Materials,Paper & Paper Products
CLX,Consumer Defensive,Household & Personal Products
CLXT,Consumer Defensive,Packaged Foods
CM,Financial Services,Banks Diversified
CMA,Financial Services,Banks Regional
CMBM,Technology,Communication Equipment
CMC,Basic Materials,Steel
CMCL,Basic Materials,Gold
CMCM,Technology,Software Application
CMCO,Industrials,Farm & Heavy Construction Machinery
CMCSA,Communication Services,Entertainment
CMCT,Real Estate,REIT Office
CMD,Healthcare,Medical Instruments & Supplies
CME,Financial Services,Financial Data & Stock Exchanges
CMG,Consumer Cyclical,Restaurants
CMI,Industrials,Specialty Industrial Machinery
CMLF,Financial Services,Shell Companies
CMLS,Communication Services,Broadcasting
CMO,Real Estate,REIT Mortgage
CMP,Basic Materials,Other Industrial Metals & Mining
CMPI,Healthcare,Biotechnology
CMPR,Communication Services,Advertising Agencies
CMPS,Healthcare,Medical Care Facilities
CMRE,Industrials,Marine Shipping
CMRX,Healthcare,Biotechnology
CMS,Utilities,Utilities Regulated Electric
CMT,Basic Materials,Specialty Chemicals
CMTL,Technology,Communication Equipment
CNA,Financial Services,Insurance Property & Casualty
CNBKA,Financial Services,Banks Regional
CNC,Healthcare,Healthcare Plans
CNCE,Healthcare,Biotechnology
CNDT,Technology,Information Technology Services
CNF,Financial Services,Mortgage Finance
CNHI,Industrials,Farm & Heavy Construction Machinery
CNI,Industrials,Railroads
CNK,Communication Services,Entertainment
CNMD,Healthcare,Medical Devices
CNNE,Consumer Cyclical,Restaurants
CNO,Financial Services,Insurance Life
CNOB,Financial Services,Banks Regional
CNP,Utilities,Utilities Regulated Gas
CNQ,Energy,Oil & Gas E&P
CNR,Industrials,Building Products & Equipment
CNS,Financial Services,Asset Management
CNSL,Communication Services,Telecom Services
CNST,Healthcare,Biotechnology
CNTG,Healthcare,Diagnostics & Research
CNTY,Consumer Cyclical,Resorts & Casinos
CNX,Energy,Oil & Gas E&P
CNXC,Technology,Information Technology Services
CNXN,Technology,Electronics & Computer Distribution
CO,Healthcare,Diagnostics & Research
COCP,Healthcare,Biotechnology
CODI,Industrials,Conglomerates
CODX,Healthcare,Diagnostics & Research
COE,Consumer Defensive,Education & Training Services
COF,Financial Services,Credit Services
COFS,Financial Services,Banks Regional
COG,Energy,Oil & Gas E&P
COGT,Healthcare,Biotechnology
COHR,Technology,Scientific & Technical Instruments
COHU,Technology,Semiconductor Equipment & Materials
COKE,Consumer Defensive,Beverages Non-Alcoholic
COLB,Financial Services,Banks Regional
COLD,Real Estate,REIT Industrial
COLL,Healthcare,Drug Manufacturers Specialty & Generic
COLM,Consumer Cyclical,Apparel Manufacturing
COMM,Technology,Communication Equipment
CONE,Real Estate,REIT Specialty
CONN,Consumer Cyclical,Specialty Retail
COO,Healthcare,Medical Instruments & Supplies
COOP,Financial Services,Mortgage Finance
COP,Energy,Oil & Gas E&P
COR,Real Estate,REIT Office
CORE,Consumer Defensive,Food Distribution
CORR,Real Estate,REIT Diversified
CORT,Healthcare,Biotechnology
COST,Consumer Defensive,Discount Stores
COTY,Consumer Defensive,Household & Personal Products
COUP,Technology,Software Application
COWN,Financial Services,Capital Markets
CP,Industrials,Railroads
CPA,Industrials,Airlines
CPAC,Basic Materials,Building Materials
CPB,Consumer Defensive,Packaged Foods
CPE,Energy,Oil & Gas E&P
CPF,Financial Services,Banks Regional
CPG,Energy,Oil & Gas E&P
CPK,Utilities,Utilities Regulated Gas
CPLG,Real Estate,REIT Hotel & Motel
CPLP,Industrials,Marine Shipping
CPRI,Consumer Cyclical,Apparel Manufacturing
CPRT,Industrials,Specialty Business Services
CPRX,Healthcare,Biotechnology
CPS,Consumer Cyclical,Auto Parts
CPSH,Technology,Electronic Components
CPSI,Healthcare,Health Information Services
CPSR,Financial Services,Shell Companies
CPSS,Financial Services,Credit Services
CPST,Industrials,Specialty Industrial Machinery
CPT,Real Estate,REIT Residential
CQP,Energy,Oil & Gas Midstream
CR,Industrials,Specialty Industrial Machinery
CRAI,Industrials,Consulting Services
CRBP,Healthcare,Biotechnology
CRC,Energy,Oil & Gas E&P
CRDF,Healthcare,Biotechnology
CREE,Technology,Semiconductors
CRESY,Consumer Defensive,Farm Products
CRH,Basic Materials,Building Materials
CRHC,Financial Services,Shell Companies
CRHM,Healthcare,Medical Instruments & Supplies
CRI,Consumer Cyclical,Apparel Retail
CRIS,Healthcare,Biotechnology
CRK,Energy,Oil & Gas E&P
CRL,Healthcare,Diagnostics & Research
CRM,Technology,Software Application
CRMD,Healthcare,Biotechnology
CRMT,Consumer Cyclical,Auto & Truck Dealerships
CRNC,Technology,Software Application
CRNT,Technology,Communication Equipment
CRNX,Healthcare,Biotechnology
CRON,Healthcare,Drug Manufacturers Specialty & Generic
CROX,Consumer Cyclical,Footwear & Accessories
CRS,Industrials,Metal Fabrication
CRSA,Financial Services,Shell Companies
CRSP,Healthcare,Biotechnology
CRSR,Technology,Computer Hardware
CRTO,Communication Services,Advertising Agencies
CRTX,Healthcare,Biotechnology
CRUS,Technology,Semiconductors
CRVL,Financial Services,Insurance Brokers
CRVS,Healthcare,Biotechnology
CRWD,Technology,Software Infrastructure
CRY,Healthcare,Medical Devices
CS,Financial Services,Banks Diversified
CSBR,Healthcare,Biotechnology
CSCO,Technology,Communication Equipment
CSGP,Real Estate,Real Estate Services
CSGS,Technology,Software Infrastructure
CSII,Healthcare,Medical Devices
CSIQ,Technology,Solar
CSL,Industrials,Building Products & Equipment
CSLT,Healthcare,Health Information Services
CSOD,Technology,Software Application
CSPR,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
CSSE,Communication Services,Broadcasting
CSTE,Industrials,Building Products & Equipment
CSTL,Healthcare,Diagnostics & Research
CSTM,Basic Materials,Aluminum
CSTR,Financial Services,Banks Regional
CSV,Consumer Cyclical,Personal Services
CSWC,Financial Services,Asset Management
CSWI,Industrials,Specialty Industrial Machinery
CSX,Industrials,Railroads
CTAC,Financial Services,Shell Companies
CTAS,Industrials,Specialty Business Services
CTB,Consumer Cyclical,Auto Parts
CTBI,Financial Services,Banks Regional
CTIC,Healthcare,Biotechnology
CTK,Technology,Software Application
CTLT,Healthcare,Drug Manufacturers Specialty & Generic
CTMX,Healthcare,Biotechnology
CTO,Real Estate,Real Estate Development
CTRA,Energy,Thermal Coal
CTRE,Real Estate,REIT Healthcare Facilities
CTRM,Industrials,Marine Shipping
CTRN,Consumer Cyclical,Apparel Retail
CTS,Technology,Electronic Components
CTSH,Technology,Information Technology Services
CTSO,Healthcare,Medical Devices
CTT,Real Estate,REIT Specialty
CTVA,Basic Materials,Agricultural Inputs
CTXS,Technology,Software Application
CUB,Industrials,Aerospace & Defense
CUBE,Real Estate,REIT Industrial
CUBI,Financial Services,Banks Regional
CUE,Healthcare,Biotechnology
CUK,Consumer Cyclical,Leisure
CULP,Consumer Cyclical,Textile Manufacturing
CURI,Communication Services,Entertainment
CURO,Financial Services,Credit Services
CUTR,Healthcare,Medical Devices
CUZ,Real Estate,REIT Office
CVA,Industrials,Waste Management
CVAC,Healthcare,Biotechnology
CVBF,Financial Services,Banks Regional
CVCO,Consumer Cyclical,Residential Construction
CVCY,Financial Services,Banks Regional
CVE,Energy,Oil & Gas Integrated
CVEO,Industrials,Specialty Business Services
CVET,Healthcare,Health Information Services
CVGI,Consumer Cyclical,Auto Parts
CVGW,Consumer Defensive,Packaged Foods
CVI,Energy,Oil & Gas Refining & Marketing
CVLB,Healthcare,Pharmaceutical Retailers
CVLG,Industrials,Trucking
CVLT,Technology,Software Application
CVLY,Financial Services,Banks Regional
CVM,Healthcare,Biotechnology
CVNA,Consumer Cyclical,Internet Retail
CVS,Healthcare,Healthcare Plans
CVX,Energy,Oil & Gas Integrated
CW,Industrials,Specialty Industrial Machinery
CWCO,Utilities,Utilities Regulated Water
CWEN,Utilities,Utilities Renewable
CWH,Consumer Cyclical,Recreational Vehicles
CWK,Real Estate,Real Estate Services
CWST,Industrials,Waste Management
CWT,Utilities,Utilities Regulated Water
CX,Basic Materials,Building Materials
CXDO,Technology,Information Technology Services
CXO,Energy,Oil & Gas E&P
CXP,Real Estate,REIT Office
CXW,Real Estate,REIT Specialty
CYAD,Healthcare,Biotechnology
CYBE,Technology,Scientific & Technical Instruments
CYBR,Technology,Software Infrastructure
CYCN,Healthcare,Biotechnology
CYD,Industrials,Specialty Industrial Machinery
CYH,Healthcare,Medical Care Facilities
CYRX,Industrials,Integrated Freight & Logistics
CYTK,Healthcare,Biotechnology
CZNC,Financial Services,Banks Regional
CZR,Consumer Cyclical,Resorts & Casinos
CZWI,Financial Services,Banks Regional
CZZ,Energy,Oil & Gas Refining & Marketing
D,Utilities,Utilities Diversified
DAC,Industrials,Marine Shipping
DADA,Consumer Cyclical,Internet Retail
DAKT,Technology,Computer Hardware
DAL,Industrials,Airlines
DAN,Consumer Cyclical,Auto Parts
DAO,Communication Services,Internet Content & Information
DAR,Consumer Defensive,Packaged Foods
DASH,Communication Services,Internet Content & Information
DAVA,Technology,Software Infrastructure
DB,Financial Services,Banks Regional
DBD,Technology,Software Application
DBDR,Financial Services,Shell Companies
DBI,Consumer Cyclical,Apparel Retail
DBVT,Healthcare,Biotechnology
DBX,Technology,Software Infrastructure
DCBO,Technology,Software—Application
DCI,Industrials,Specialty Industrial Machinery
DCO,Industrials,Aerospace & Defense
DCOM,Financial Services,Banks Regional
DCP,Energy,Oil & Gas Midstream
DCPH,Healthcare,Biotechnology
DCRB,Financial Services,Shell Companies
DCT,Technology,Software Application
DD,Basic Materials,Chemicals
DDD,Technology,Computer Hardware
DDOG,Technology,Software Application
DDS,Consumer Cyclical,Department Stores
DE,Industrials,Farm & Heavy Construction Machinery
DEA,Real Estate,REIT Office
DECK,Consumer Cyclical,Footwear & Accessories
DEH,Financial Services,Shell Companies
DEI,Real Estate,REIT Office
DELL,Technology,Computer Hardware
DEN,Energy,Oil & Gas E&P
DENN,Consumer Cyclical,Restaurants
DEO,Consumer Defensive,Beverages Wineries & Distilleries
DESP,Consumer Cyclical,Travel Services
DFHT,Financial Services,Shell Companies
DFIN,Financial Services,Capital Markets
DFNS,Financial Services,Shell Companies
DFPH,Financial Services,Shell Companies
DFS,Financial Services,Credit Services
DG,Consumer Defensive,Discount Stores
DGICA,Financial Services,Insurance Property & Casualty
DGICB,Financial Services,Insurance—Property & Casualty
DGII,Technology,Communication Equipment
DGNR,Financial Services,Shell Companies
DGNS,Financial Services,Shell Companies
DGX,Healthcare,Diagnostics & Research
DHC,Real Estate,REIT Healthcare Facilities
DHI,Consumer Cyclical,Residential Construction
DHIL,Financial Services,Asset Management
DHR,Healthcare,Diagnostics & Research
DHT,Energy,Oil & Gas Midstream
DHX,Industrials,Staffing & Employment Services
DIN,Consumer Cyclical,Restaurants
DIOD,Technology,Semiconductors
DIS,Communication Services,Entertainment
DISCA,Communication Services,Entertainment
DISCB,Communication Services,Entertainment
DISCK,Communication Services,Entertainment
DISH,Communication Services,Entertainment
DJCO,Communication Services,Publishing
DK,Energy,Oil & Gas Refining & Marketing
DKL,Energy,Oil & Gas Midstream
DKNG,Consumer Cyclical,Gambling
DKS,Consumer Cyclical,Specialty Retail
DL,Consumer Defensive,Education & Training Services
DLA,Consumer Cyclical,Apparel Manufacturing
DLB,Technology,Information Technology Services
DLHC,Industrials,Specialty Business Services
DLNG,Energy,Oil & Gas Midstream
DLR,Real Estate,REIT Office
DLTH,Consumer Cyclical,Apparel Retail
DLTR,Consumer Defensive,Discount Stores
DLX,Communication Services,Advertising Agencies
DM,Technology,Computer Hardware
DMAC,Healthcare,Biotechnology
DMLP,Energy,Oil & Gas E&P
DMRC,Technology,Information Technology Services
DMS,Communication Services,Advertising Agencies
DMTK,Healthcare,Diagnostics & Research
DMYD,Financial Services,Shell Companies
DNB,Technology,Information Technology Services
DNK,Real Estate,Real Estate Services
DNLI,Healthcare,Biotechnology
DNMR,Basic Materials,Specialty Chemicals
DNN,Energy,Uranium
DNOW,Energy,Oil & Gas Equipment & Services
DOC,Real Estate,REIT Healthcare Facilities
DOCU,Technology,Software Application
DOMO,Technology,Software Application
DOOO,Consumer Cyclical,Recreational Vehicles
DOOR,Industrials,Building Products & Equipment
DORM,Consumer Cyclical,Auto Parts
DOV,Industrials,Specialty Industrial Machinery
DOW,Basic Materials,Chemicals
DOX,Technology,Software Infrastructure
DOYU,Communication Services,Internet Content & Information
DPW,Industrials,Electrical Equipment & Parts
DPZ,Consumer Cyclical,Restaurants
DQ,Technology,Semiconductor Equipment & Materials
DRD,Basic Materials,Gold
DRE,Real Estate,REIT Industrial
DRH,Real Estate,REIT Hotel & Motel
DRI,Consumer Cyclical,Restaurants
DRIO,Healthcare,Diagnostics & Research
DRNA,Healthcare,Biotechnology
DRQ,Energy,Oil & Gas Equipment & Services
DRRX,Healthcare,Drug Manufacturers Specialty & Generic
DRTT,Industrials,Engineering & Construction
DS,Consumer Cyclical,Leisure
DSAC,Financial Services,Shell Companies
DSGX,Technology,Software Application
DSKE,Industrials,Trucking
DSPG,Technology,Semiconductors
DSSI,Energy,Oil & Gas Midstream
DSX,Industrials,Marine Shipping
DT,Technology,Software Application
DTE,Utilities,Utilities Regulated Electric
DTIL,Healthcare,Biotechnology
DUK,Utilities,Utilities Regulated Electric
DUO,Real Estate,Real Estate Services
DVA,Healthcare,Medical Care Facilities
DVAX,Healthcare,Biotechnology
DVN,Energy,Oil & Gas E&P
DX,Real Estate,REIT Mortgage
DXC,Technology,Information Technology Services
DXCM,Healthcare,Diagnostics & Research
DXPE,Industrials,Industrial Distribution
DY,Industrials,Engineering & Construction
DYAI,Healthcare,Biotechnology
DYN,Healthcare,Biotechnology
DZSI,Technology,Communication Equipment
E,Energy,Oil & Gas Integrated
EA,Communication Services,Electronic Gaming & Multimedia
EAF,Industrials,Electrical Equipment & Parts
EAR,Healthcare,Medical Devices
EARN,Real Estate,REIT Mortgage
EAT,Consumer Cyclical,Restaurants
EB,Technology,Software Application
EBAY,Consumer Cyclical,Internet Retail
EBC,Financial Services,Banks Regional
EBF,Industrials,Business Equipment & Supplies
EBIX,Technology,Software Application
EBMT,Financial Services,Banks Regional
EBON,Technology,Computer Hardware
EBR,Utilities,Utilities Regulated Electric
EBS,Healthcare,Drug Manufacturers Specialty & Generic
EBSB,Financial Services,Banks Regional
EBTC,Financial Services,Banks Regional
EC,Energy,Oil & Gas Integrated
ECHO,Industrials,Integrated Freight & Logistics
ECL,Basic Materials,Specialty Chemicals
ECOL,Industrials,Waste Management
ECOM,Technology,Software—Application
ECPG,Financial Services,Mortgage Finance
ED,Utilities,Utilities Regulated Electric
EDAP,Healthcare,Medical Devices
EDIT,Healthcare,Biotechnology
EDN,Utilities,Utilities Regulated Electric
EDTXU,Financial Services,Shell Companies
EDU,Consumer Defensive,Education & Training Services
EDUC,Communication Services,Publishing
EEFT,Technology,Software Infrastructure
EEX,Communication Services,Advertising Agencies
EFC,Financial Services,Mortgage Finance
EFSC,Financial Services,Banks Regional
EFX,Industrials,Consulting Services
EGAN,Technology,Software Application
EGBN,Financial Services,Banks Regional
EGHT,Technology,Software Application
EGLE,Industrials,Marine Shipping
EGO,Basic Materials,Gold
EGOV,Technology,Software Application
EGP,Real Estate,REIT Industrial
EGRX,Healthcare,Drug Manufacturers Specialty & Generic
EGY,Energy,Oil & Gas E&P
EH,Industrials,Aerospace & Defense
EHC,Healthcare,Medical Care Facilities
EHTH,Financial Services,Insurance Brokers
EIDX,Healthcare,Biotechnology
EIG,Financial Services,Insurance Specialty
EIGI,Technology,Software Application
EIGR,Healthcare,Biotechnology
EIX,Utilities,Utilities Regulated Electric
EL,Consumer Defensive,Household & Personal Products
ELA,Consumer Cyclical,Specialty Retail
ELAN,Healthcare,Drug Manufacturers Specialty & Generic
ELF,Consumer Defensive,Household & Personal Products
ELLO,Utilities,Utilities Renewable
ELOX,Healthcare,Biotechnology
ELP,Utilities,Utilities Diversified
ELS,Real Estate,REIT Residential
ELVT,Financial Services,Credit Services
ELY,Consumer Cyclical,Leisure
EMAN,Technology,Semiconductor Equipment & Materials
EME,Industrials,Engineering & Construction
EMKR,Technology,Semiconductors
EML,Industrials,Tools & Accessories
EMN,Basic Materials,Chemicals
EMPW,Financial Services,Shell Companies
EMR,Industrials,Specialty Industrial Machinery
EMX,Basic Materials,Other Industrial Metals & Mining
ENB,Energy,Oil & Gas Midstream
ENBL,Energy,Oil & Gas Midstream
ENDP,Healthcare,Drug Manufacturers Specialty & Generic
ENG,Industrials,Engineering & Construction
ENIA,Utilities,Utilities Regulated Electric
ENIC,Utilities,Utilities Regulated Electric
ENLC,Energy,Oil & Gas Midstream
ENLV,Healthcare,Biotechnology
ENOB,Healthcare,Biotechnology
ENPC,Financial Services,Shell Companies
ENPH,Technology,Solar
ENR,Industrials,Electrical Equipment & Parts
ENS,Industrials,Electrical Equipment & Parts
ENSG,Healthcare,Medical Care Facilities
ENTA,Healthcare,Biotechnology
ENTG,Technology,Semiconductor Equipment & Materials
ENV,Technology,Software Application
ENVA,Financial Services,Credit Services
ENZ,Healthcare,Diagnostics & Research
EOG,Energy,Oil & Gas E&P
EOLS,Healthcare,Drug Manufacturers Specialty & Generic
EOSE,Industrials,Electrical Equipment & Parts
EPAC,Industrials,Specialty Industrial Machinery
EPAM,Technology,Information Technology Services
EPAY,Technology,Software Infrastructure
EPC,Consumer Defensive,Household & Personal Products
EPD,Energy,Oil & Gas Midstream
EPIX,Healthcare,Biotechnology
EPM,Energy,Oil & Gas E&P
EPR,Real Estate,REIT Retail
EPRT,Real Estate,REIT Diversified
EPZM,Healthcare,Biotechnology
EQ,Healthcare,Biotechnology
EQBK,Financial Services,Banks Regional
EQC,Real Estate,REIT Office
EQD,Financial Services,Shell Companies
EQH,Financial Services,Insurance Diversified
EQIX,Real Estate,REIT Specialty
EQNR,Energy,Oil & Gas Integrated
EQOS,Financial Services,Capital Markets
EQR,Real Estate,REIT Residential
EQT,Energy,Oil & Gas E&P
EQX,Basic Materials,Gold
ERES,Financial Services,Shell Companies
ERF,Energy,Oil & Gas E&P
ERIC,Technology,Communication Equipment
ERIE,Financial Services,Insurance Brokers
ERII,Industrials,Pollution & Treatment Controls
ERJ,Industrials,Aerospace & Defense
ERYP,Healthcare,Biotechnology
ES,Utilities,Utilities Regulated Electric
ESCA,Consumer Cyclical,Leisure
ESE,Technology,Scientific & Technical Instruments
ESGC,Communication Services,Entertainment
ESGR,Financial Services,Insurance Diversified
ESI,Basic Materials,Specialty Chemicals
ESLT,Industrials,Aerospace & Defense
ESNT,Financial Services,Mortgage Finance
ESPR,Healthcare,Biotechnology
ESQ,Financial Services,Banks Regional
ESRT,Real Estate,REIT Diversified
ESS,Real Estate,REIT Residential
ESSA,Financial Services,Banks Regional
ESSC,Financial Services,Shell Companies
ESTA,Healthcare,Medical Devices
ESTC,Technology,Software Application
ESTE,Energy,Oil & Gas E&P
ESXB,Financial Services,Banks Regional
ET,Energy,Oil & Gas Midstream
ETAC,Financial Services,Shell Companies
ETH,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
ETM,Communication Services,Broadcasting
ETN,Industrials,Specialty Industrial Machinery
ETNB,Healthcare,Biotechnology
ETON,Healthcare,Biotechnology
ETR,Utilities,Utilities Diversified
ETRN,Energy,Oil & Gas Midstream
ETSY,Consumer Cyclical,Internet Retail
EURN,Energy,Oil & Gas Midstream
EV,Financial Services,Asset Management
EVA,Basic Materials,Lumber & Wood Production
EVBG,Technology,Software Application
EVBN,Financial Services,Banks Regional
EVC,Communication Services,Broadcasting
EVER,Communication Services,Internet Content & Information
EVFM,Healthcare,Biotechnology
EVGN,Healthcare,Biotechnology
EVH,Healthcare,Health Information Services
EVI,Industrials,Industrial Distribution
EVLO,Healthcare,Biotechnology
EVOP,Technology,Software Infrastructure
EVR,Financial Services,Capital Markets
EVRG,Utilities,Utilities Regulated Electric
EVRI,Consumer Cyclical,Gambling
EVTC,Technology,Software Infrastructure
EW,Healthcare,Medical Devices
EWBC,Financial Services,Banks Diversified
EXAS,Healthcare,Diagnostics & Research
EXC,Utilities,Utilities Diversified
EXEL,Healthcare,Biotechnology
EXFO,Technology,Communication Equipment
EXK,Basic Materials,Silver
EXLS,Technology,Information Technology Services
EXP,Basic Materials,Building Materials
EXPC,Financial Services,Shell Companies
EXPD,Industrials,Integrated Freight & Logistics
EXPE,Consumer Cyclical,Travel Services
EXPI,Real Estate,Real Estate Services
EXPO,Industrials,Consulting Services
EXR,Real Estate,REIT Industrial
EXTN,Energy,Oil & Gas Equipment & Services
EXTR,Technology,Communication Equipment
EYE,Consumer Cyclical,Specialty Retail
EYEN,Healthcare,Biotechnology
EYPT,Healthcare,Biotechnology
EZPW,Financial Services,Credit Services
F,Consumer Cyclical,Auto Manufacturers
FAF,Financial Services,Insurance Specialty
FAII,Financial Services,Shell Companies
FANG,Energy,Oil & Gas E&P
FANH,Financial Services,Insurance Brokers
FARO,Technology,Scientific & Technical Instruments
FAST,Industrials,Industrial Distribution
FAT,Consumer Cyclical,Restaurants
FATE,Healthcare,Biotechnology
FB,Communication Services,Internet Content & Information
FBC,Financial Services,Banks Regional
FBHS,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
FBIO,Healthcare,Biotechnology
FBIZ,Financial Services,Banks Regional
FBK,Financial Services,Banks Regional
FBM,Industrials,Industrial Distribution
FBMS,Financial Services,Banks Regional
FBNC,Financial Services,Banks Regional
FBP,Financial Services,Banks Regional
FBRX,Healthcare,Biotechnology
FC,Industrials,Consulting Services
FCAC,Financial Services,Shell Companies
FCAP,Financial Services,Banks Regional
FCAU,Consumer Cyclical,Auto Manufacturers
FCBC,Financial Services,Banks Regional
FCBP,Financial Services,Banks Regional
FCCO,Financial Services,Banks Regional
FCCY,Financial Services,Banks Regional
FCEL,Industrials,Electrical Equipment & Parts
FCF,Financial Services,Banks Regional
FCFS,Financial Services,Credit Services
FCN,Industrials,Consulting Services
FCNCA,Financial Services,Banks Regional
FCPT,Real Estate,REIT Hotel & Motel
FCX,Basic Materials,Copper
FDBC,Financial Services,Banks Regional
FDMT,Healthcare,Biotechnology
FDP,Consumer Defensive,Farm Products
FDS,Financial Services,Financial Data & Stock Exchanges
FDX,Industrials,Integrated Freight & Logistics
FE,Utilities,Utilities Diversified
FEIM,Technology,Communication Equipment
FELE,Industrials,Specialty Industrial Machinery
FENC,Healthcare,Biotechnology
FENG,Communication Services,Internet Content & Information
FEYE,Technology,Software Infrastructure
FF,Basic Materials,Chemicals
FFBC,Financial Services,Banks Regional
FFG,Financial Services,Insurance Life
FFIC,Financial Services,Banks Regional
FFIN,Financial Services,Banks Regional
